Item,m25b,m25c,25b-rwt,25c-rwt
M,0.0769,0.0748,0.0691,0.0673
a50-1,6.128286868393495,6.129979277637076,6.009844113992531,6.001007457257703
a50-2,2.5689546936547636,2.5826196334365683,2.6209556603366804,2.6282537099219296
a50-3,2.52859128286692,2.5433250228853415,2.520180754075592,2.528470837924684
a50-4,2.8002208852447388,2.806118848299241,2.749629259035586,2.7515804230441026
delta-1,1.5857250650424424,1.593992739770717,1.4742979862576089,1.4677936039950485
delta-2,5.90920713912023,5.938461410076329,6.468814552375755,6.457929587804249
delta-3,4.987194782455196,5.104019424688069,4.944962299787485,5.015711934196136
delta-4,9.680439187437996,9.904904712020347,9.276403950300603,9.376731484869937
a50 survey,5.4424,5.628,4.9312,5.0327
delta survey,5.7522,5.9086,5.3114,5.395
q,1.61,2.1316,1.5072,1.9376
sigma R,0.7516,0.7886,0.7877,0.814
Log mean recruitment,4.5778,4.5127,4.4737,4.4391
Log mean F,-2.6663,-2.616,-2.6963,-2.6798
2024 Total biomass,720106.7107,732160.566,731698.1927,771584.7289
2024 Spawning biomass,251853.6069,260000.7695,266337.8363,283769.4037
2024 OFL,53957.9854,54302.3879,49572.7095,51720.6077
2024 F OFL,0.1229,0.1192,0.1086,0.106
 2024 ABC,45132.2374,45423.2889,41717.4005,43529.6354
2024 F ABC,0.102,0.0989,0.0907,0.0886
